Bands,Perm,Accuracy
[],0,0.946620740388569
['Coastal Aerosol'],0,0.9487335205078125
['Coastal Aerosol'],1,0.9487418726870888
['Coastal Aerosol'],2,0.9488066020764803
['Coastal Aerosol'],3,0.9487438001130757
['Coastal Aerosol'],4,0.9486862985711348
['Blue'],0,0.9447980378803454
['Blue'],1,0.9446444862767269
['Blue'],2,0.9446923506887336
['Blue'],3,0.9447352359169408
['Blue'],4,0.9446947599712171
['Green'],0,0.9475981059827303
['Green'],1,0.9476173802425987
['Green'],2,0.9475576300370065
['Green'],3,0.9476565712376644
['Green'],4,0.9476805034436677
['Red'],0,0.9476136860094573
['Red'],1,0.9475618061266448
['Red'],2,0.9476252505653783
['Red'],3,0.9476151315789474
['Red'],4,0.9475688733552632
['Red Edge 1'],0,0.9483828895970394
['Red Edge 1'],1,0.9483380769428454
['Red Edge 1'],2,0.9483995939555921
['Red Edge 1'],3,0.9483597604851973
['Red Edge 1'],4,0.9483576724403783
['Red Edge 2'],0,0.949336804841694
['Red Edge 2'],1,0.9493384110300165
['Red Edge 2'],2,0.9492997018914474
['Red Edge 2'],3,0.9492921528063323
['Red Edge 2'],4,0.9492971319901315
['Red Edge 3'],0,0.9504969546669408
['Red Edge 3'],1,0.9504706131784539
['Red Edge 3'],2,0.9504942241467927
['Red Edge 3'],3,0.950507234272204
['Red Edge 3'],4,0.9505271510074013
['NIR'],0,0.5655255769428454
['NIR'],1,0.5661788137335526
['NIR'],2,0.5651805676912006
['NIR'],3,0.565469681589227
['NIR'],4,0.5649279142680921
['Red Edge 4'],0,0.9511031301398026
['Red Edge 4'],1,0.9510722913240132
['Red Edge 4'],2,0.9510274786698191
['Red Edge 4'],3,0.9510608873869243
['Red Edge 4'],4,0.9509735107421875
['Water Vapour'],0,0.9207969263980263
['Water Vapour'],1,0.9208759508634868
['Water Vapour'],2,0.9207681756270559
['Water Vapour'],3,0.9209540116159539
['Water Vapour'],4,0.9208406147203947
['SWIR 1'],0,0.9387687281558388
['SWIR 1'],1,0.9388053492495888
['SWIR 1'],2,0.9387822201377467
['SWIR 1'],3,0.938775634765625
['SWIR 1'],4,0.93897705078125
['SWIR 2'],0,0.9503935161389803
['SWIR 2'],1,0.9503710295024671
['SWIR 2'],2,0.9503825940583882
['SWIR 2'],3,0.9503727963096217
['SWIR 2'],4,0.9503626773231908
"['NIR', 'Green']",0,0.5936404579564145
"['NIR', 'Green']",1,0.5941855982730263
"['NIR', 'Green']",2,0.5935341282894737
"['NIR', 'Green']",3,0.594053087736431
"['NIR', 'Green']",4,0.5937030993009869
"['Blue', 'Green', 'NIR', 'SWIR 1', 'SWIR 2']",0,0.5546613191303454
"['Blue', 'Green', 'NIR', 'SWIR 1', 'SWIR 2']",1,0.5547331157483553
"['Blue', 'Green', 'NIR', 'SWIR 1', 'SWIR 2']",2,0.5546563399465461
"['Blue', 'Green', 'NIR', 'SWIR 1', 'SWIR 2']",3,0.5538619192023027
"['Blue', 'Green', 'NIR', 'SWIR 1', 'SWIR 2']",4,0.5550188566509046
"['Blue', 'SWIR 1']",0,0.9419603849712171
"['Blue', 'SWIR 1']",1,0.942034912109375
"['Blue', 'SWIR 1']",2,0.942178023488898
"['Blue', 'SWIR 1']",3,0.9419674521998356
"['Blue', 'SWIR 1']",4,0.9420231869346217
"['Red Edge 1', 'SWIR 2']",0,0.9500819156044408
"['Red Edge 1', 'SWIR 2']",1,0.9500538073087993
"['Red Edge 1', 'SWIR 2']",2,0.9500626413445724
"['Red Edge 1', 'SWIR 2']",3,0.9500592683490954
"['Red Edge 1', 'SWIR 2']",4,0.9500364604749177
"['Green', 'Red', 'NIR', 'SWIR 1', 'SWIR 2']",0,0.5175651148745888
"['Green', 'Red', 'NIR', 'SWIR 1', 'SWIR 2']",1,0.5166865298622533
"['Green', 'Red', 'NIR', 'SWIR 1', 'SWIR 2']",2,0.5165671900699013
"['Green', 'Red', 'NIR', 'SWIR 1', 'SWIR 2']",3,0.5165271959806743
"['Green', 'Red', 'NIR', 'SWIR 1', 'SWIR 2']",4,0.5166874935752467
"['Blue', 'Green', 'Red']",0,0.9441830283717105
"['Blue', 'Green', 'Red']",1,0.9440770199424342
"['Blue', 'Green', 'Red']",2,0.9441663240131579
"['Blue', 'Green', 'Red']",3,0.9441676089638158
"['Blue', 'Green', 'Red']",4,0.9441831889905428
"['Coastal Aerosol', 'Green', 'Red', 'Red Edge 1', 'Red Edge 2', 'Red Edge 3', 'Red Edge 4', 'SWIR 2']",0,0.9514089483963816
"['Coastal Aerosol', 'Green', 'Red', 'Red Edge 1', 'Red Edge 2', 'Red Edge 3', 'Red Edge 4', 'SWIR 2']",1,0.9513403641550164
"['Coastal Aerosol', 'Green', 'Red', 'Red Edge 1', 'Red Edge 2', 'Red Edge 3', 'Red Edge 4', 'SWIR 2']",2,0.9513186806126644
"['Coastal Aerosol', 'Green', 'Red', 'Red Edge 1', 'Red Edge 2', 'Red Edge 3', 'Red Edge 4', 'SWIR 2']",3,0.9513055098684211
"['Coastal Aerosol', 'Green', 'Red', 'Red Edge 1', 'Red Edge 2', 'Red Edge 3', 'Red Edge 4', 'SWIR 2']",4,0.9513888710423519
